id,site,site_id,job_title,area,due_date,work_location,work_type,link,ingestion_ts,is_new
Upgraded-https://upgraded.se/konsultuppdrag/128166-losningsarkitekt-52/,Upgraded,https://upgraded.se/konsultuppdrag/128166-losningsarkitekt-52/,Lösningsarkitekt,Lösningsarkitekt,2025-09-29,Umeå,nan,https://upgraded.se/konsultuppdrag/128166-losningsarkitekt-52/,2025-09-18 14:33:02,False
A Society-14207,A Society,14207,Source to Pay Data \u0026 Migration Lead,IT,2025-09-30,Stockholm,På plats,https://www.asocietygroup.com/sv/uppdrag/source-to-pay-data-\u0026-migration-lead-14207,2025-09-18 15:53:46,False
A Society-14206,A Society,14206,Workstream lead – Data \u0026 Migration,IT,2025-09-30,Stockholm,På plats,https://www.asocietygroup.com/sv/uppdrag/workstream-lead-data-\u0026-migration-14206,2025-09-18 15:53:46,False
Emagine-170647,Emagine,170647,UX Director to gaming client,"UX, UI & Visual Design",nan,Stockholm Metropolitan Area,Hybrid,https://portal.emagine.org/jobs/170647/ux-director-to-gaming-client,2025-09-18 15:53:47,False
Emagine-170646,Emagine,170646,UX Writer / Content Designer,"UX, UI & Visual Design",nan,Stockholm Metropolitan Area,Hybrid,https://portal.emagine.org/jobs/170646/ux-writer-content-designer,2025-09-18 15:53:47,False
Ework-71102,Ework,71102,Miljökonsult,Miljö,2025-10-03T23:59:00+02:00,Stockholm,På plats,https://app.verama.com/sv/job-requests/71102,2025-09-18 15:53:49,False
Upgraded-https://upgraded.se/konsultuppdrag/128319-power-bi-utvecklare-2/,Upgraded,https://upgraded.se/konsultuppdrag/128319-power-bi-utvecklare-2/,Power-BI utvecklare,BI-utvecklare,2025-10-29,Göteborgsområdet,Distansarbete: Hybrid,https://upgraded.se/konsultuppdrag/128319-power-bi-utvecklare-2/,2025-09-18 15:53:54,False
Upgraded-https://upgraded.se/konsultuppdrag/128309-iam-ad-specialist/,Upgraded,https://upgraded.se/konsultuppdrag/128309-iam-ad-specialist/,IAM/AD-specialist,Infrastrukturspecialist,2025-09-26,nan,Distansarbete: Remote,https://upgraded.se/konsultuppdrag/128309-iam-ad-specialist/,2025-09-18 15:53:54,False
Upgraded-https://upgraded.se/konsultuppdrag/128301-testautomation-unit4-net-4/,Upgraded,https://upgraded.se/konsultuppdrag/128301-testautomation-unit4-net-4/,Testautomation Unit4 .NET,Testautomatiserare,2025-09-26,Stockholm,Distansarbete: Hybrid,https://upgraded.se/konsultuppdrag/128301-testautomation-unit4-net-4/,2025-09-18 15:53:54,False
Upgraded-https://upgraded.se/konsultuppdrag/128300-systemutvecklare-bi-dw-3/,Upgraded,https://upgraded.se/konsultuppdrag/128300-systemutvecklare-bi-dw-3/,Systemutvecklare BI DW,Systemutvecklare,2025-09-24,Stockholm/Visby,Distansarbete: Hybrid,https://upgraded.se/konsultuppdrag/128300-systemutvecklare-bi-dw-3/,2025-09-18 15:53:54,False
A Society-14212,A Society,14212,5g Core-developer,Engineering,2025-09-26,Stockholm,Hybrid,https://www.asocietygroup.com/sv/uppdrag/5g-core-developer-14212,2025-09-19 10:43:13,False
A Society-14210,A Society,14210,Android Software Developer,Engineering,2025-09-22,Göteborg,På plats,https://www.asocietygroup.com/sv/uppdrag/android-software-developer-14210,2025-09-19 10:43:13,False
A Society-14209,A Society,14209,Software Engineer,Engineering,2025-09-22,Göteborg,På plats,https://www.asocietygroup.com/sv/uppdrag/software-engineer-14209,2025-09-19 10:43:13,False
A Society-14208,A Society,14208,Produktägare Digital arbetsplats ,IT,2025-10-05,Linköping,På plats,https://www.asocietygroup.com/sv/uppdrag/produktgare-digital-arbetsplats-14208,2025-09-19 10:43:13,False
Combitech-/karriar/lediga-jobb/systemingenjor-satellitkommunikation/,Combitech,/karriar/lediga-jobb/systemingenjor-satellitkommunikation/,Systemingenjör Satellitkommunikation,Engineering,19 oktober 2025,"Enköping, Stockholm",nan,https://www.combitech.se/karriar/lediga-jobb/systemingenjor-satellitkommunikation/,2025-09-19 10:43:14,False
Emagine-170654,Emagine,170654,Business Analyst inom Retail,Project Delivery,nan,Stockholm Metropolitan Area,Onsite,https://portal.emagine.org/jobs/170654/business-analyst-inom-retail,2025-09-19 10:43:14,False
Ework-71124,Ework,71124,System Test Engineer,"HIL, Python, System Engineer, Robot Framework",2025-09-26T23:59:00+02:00,Gothenburg,På plats,https://app.verama.com/sv/job-requests/71124,2025-09-19 10:43:17,False
Ework-71123,Ework,71123,Strategisk förhandlingsansvarig – CCS-programmet  ,"samverkansentreprenad, Offentlig upphandling, Projektledning, Joint Ventures, Affärsförhandling, förhandlingsprocesser",2025-10-06T23:59:00+02:00,Helsingborg,På plats,https://app.verama.com/sv/job-requests/71123,2025-09-19 10:43:17,False
Ework-71120,Ework,71120,Cybersecurity Expert,"ISO/SAE 21434, CSMS, CS concepts, TARA, cybersecurity concept design, AI, secure architecture design, UNECE R155",2025-09-24T23:59:00+02:00,Gothenburg,På plats,https://app.verama.com/sv/job-requests/71120,2025-09-19 10:43:17,False
Ework-71118,Ework,71118,Redovisningsekonom med fokus på leverantörsfakturaprocessen,"redovisningsekonom, leverantörsreskontra, Processutveckling",2025-09-23T23:59:00+02:00,Stockholm,Hybrid,https://app.verama.com/sv/job-requests/71118,2025-09-19 10:43:17,False
