,site,job_title,work_location,ingestion_ts,link
166,Combitech,Konsult med inriktning mot regelefterlevnad och flygsäkerhet,"Stockholm, Norrköping",2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/konsult-med-inriktning-mot-regelefterlevnad-och-flygsakerhet/
169,Combitech,Detaljberedare sökes,"Karlskrona, Växjö",2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/detaljberedare-sokes/
168,Combitech,Lösningsarkitekt,Stockholm,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/losningsarkitekt/
167,Combitech,Javautvecklare,Luleå,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/javautvecklare/
165,Combitech,Elkonstruktör,"Malmö, Växjö",2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/elkonstruktor/
177,Combitech,Erfaren Elektronikkonstruktör,"Norrköping, Linköping",2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/erfaren-elektronikkonstruktor/
176,Combitech,Senior mjukvarutestare till in-houseprojekt inom telecom,Linköping,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/senior-mjukvarutestare-till-in-houseprojekt-inom-telecom/
186,Combitech,Erfaren mjukvaru-/ systemutvecklare till våra utvecklingsteam,Linköping,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/erfaren-mjukvaru--systemutvecklare-till-vara-utvecklingsteam/
178,Combitech,Produktutvecklare inom mekanik,Trollhättan,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/produktutvecklare-inom-mekanik/
185,Combitech,Systemansvarig inom försvarsindustrin,Arboga,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/systemansvarig-inom-forsvarsindustrin/
179,Combitech,Tekniker inom väderradar,Arboga,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/tekniker-inom-vaderradar/
190,Combitech,Senior Systemingenjör,Västerås,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/senior-systemingenjor/
188,Combitech,Konsult inom safety / Systemsäkerhet,Linköping,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/konsult-inom-safety--systemsakerhet/
187,Combitech,Erfaren systemingenjör,Linköping,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/erfaren-systemingenjor/
189,Combitech,Senior Mjukvaruutvecklare,Västerås,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/senior-mjukvaruutvecklare/
184,Combitech,Erfaren Embeddedutvecklare,Jönköping,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/erfaren-embeddedutvecklare/
183,Combitech,Systemingenjör,Linköping,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/systemingenjor/
182,Combitech,Mjukvaruutvecklare,Linköping,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/mjukvaruutvecklare/
181,Combitech,Underhållsingenjör inom försvarsindustrin,"Arboga, Enköping, Frösön, Västerås",2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/underhallsingenjor-inom-forsvarsindustrin/
180,Combitech,Linux och Cloud Native entusiast,Göteborg,2025-09-15 13:49:56,https://www.combitech.se/karriar/lediga-jobb/linux-och-cloud-native-entusiast/
101,A Society,Lumera Kravanalytiker/Product Manager Pension \u0026 Försäkring,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/lumera-kravanalytikerproduct-manager-pension-\u0026-frskring-14130
110,A Society,Senior Database Specialist,Malmö/Lund,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-database-specialist-14119
102,A Society,Embedded utvecklare,Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/embedded-utvecklare-14057
103,A Society,Architect Application and visualization solution,Södertälje,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/architect-application-and-visualization-solution-14129
104,A Society,PLM-konsult med senior erfarenhet,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/plm-konsult-med-senior-erfarenhet-14127
105,A Society,Project Management (Delivery Projects) ,Västerås,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/project-management-delivery-projects-14124
106,A Society,Civil Design Engineering – Senior Principal Engineer (Level 5) ,Västerås,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/civil-design-engineering-senior-principal-engineer-level-5-14125
107,A Society,Shipping \u0026 Export Specialist – Consultant Assignment,Ludvika,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/shipping-\u0026-export-specialist-consultant-assignment-14126
108,A Society,Lösningsarkitekt E-hälsomyndigheten Stockholm/Kalmar 50%,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/lsningsarkitekt-e-hlsomyndigheten-stockholmkalmar-50-14123
109,A Society,Erfaren Business Controller,Göteborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/erfaren-business-controller-14121
116,A Society,Hållfasthetsingenjör – Rörberäkning | Finspång,Finspång,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/hllfasthetsingenjr-rrberkning-|-finspng-14108
111,A Society,Systemingenjör (Framdrivningssystem),Karlskrona,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemingenjr-framdrivningssystem-14118
112,A Society,"Testare Mjukvara, nivå 3",Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/testare-mjukvara-niv-3-14115
113,A Society,Elektronikkonstruktör - kretskort,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/elektronikkonstruktr-kretskort-14114
114,A Society,Elektronikkonstruktör,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/elektronikkonstruktr-14113
115,A Society,Systemutvecklare inom oceanografi SMHI Norrköping 100%,Norrköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemutvecklare-inom-oceanografi-smhi-norrkping-100-14111
99,A Society,Senior Embedded utvecklare,Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-embedded-utvecklare-14133
117,A Society,Testspecialist E-hälsomyndigheten Stockholm/Kalmar 100%,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/testspecialist-e-hlsomyndigheten-stockholmkalmar-100-14107
118,A Society,R\u0026D Projektledare – Konsultuppdrag inom gasturbinutveckling,Finspång,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/r\u0026d-projektledare-konsultuppdrag-inom-gasturbinutveckling-14105
119,A Society,Senior Machine Learning Engineering,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-machine-learning-engineering-14103
100,A Society,Senior mjukvarukonsult till försvarsindustrin,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-mjukvarukonsult-till-frsvarsindustrin-14132
126,A Society,"Systemutvecklare till UBM, Sthlm, 100%",Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemutvecklare-till-ubm-sthlm-100-14095
98,A Society,Machine Learning Engineer,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/machine-learning-engineer-14135
97,A Society,Senior Mjukvaruutvecklare - Frontend,Växjö,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-mjukvaruutvecklare-frontend-13617
121,A Society,Agile Program Coach FF,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/agile-program-coach-ff-14100
79,A Society,Scrum master / Team Lead,Malmö/Lund,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/scrum-master-team-lead-14156
80,A Society,DevOps Engineer,Södertälje,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/devops-engineer-14155
81,A Society,Senior Produktionstekniker,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-produktionstekniker-14154
82,A Society,Business Change Management Strategy and framework,Södertälje,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/business-change-management-strategy-and-framework-14153
83,A Society,Project Manager – Product Development,Södertälje,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/project-manager-product-development-14152
84,A Society,Senior Systemingenjör – Digitala produkter och smarta ekosystem,Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-systemingenjr-digitala-produkter-och-smarta-ekosystem-14151
85,A Society,Lead Project Cost Controller,Boden,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/lead-project-cost-controller-14150
86,A Society,DBA PostgreSQL Linux,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/dba-postgresql-linux-14149
87,A Society,Teknisk delprojektledare till tillväxtprojekt,Karlskoga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/teknisk-delprojektledare-till-tillvxtprojekt-14148
88,A Society,Arkitekt nationellt register för medicintekniska produkter E-hälsomyndigheten Stockholm/Kalmar 100%,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/arkitekt-nationellt-register-fr-medicintekniska-produkter-e-hlsomyndigheten-stockholmkalmar-100-14147
89,A Society,Production engineer - PCBA,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/production-engineer-pcba-14146
90,A Society,Testingenjör med fordonserfarenhet,Göteborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/testingenjr-med-fordonserfarenhet-14144
91,A Society,Testledare med utvecklarbakgrund - Trafikverket,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/testledare-med-utvecklarbakgrund-trafikverket-14143
92,A Society,Scrum Master,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/scrum-master-14141
93,A Society, Erfaren UX-designer ,Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/erfaren-ux-designer-14140
94,A Society,Systemingenjör inom Automation,Karlskrona,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemingenjr-inom-automation-14139
95,A Society,"Förändringsledare inom PEGA (Consulting Manager) till Arbetsförmedlingen, 50%, Sthlm ",Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/frndringsledare-inom-pega-consulting-manager-till-arbetsfrmedlingen-50-sthlm-14137
96,A Society,"Scrum Master till Arbetsförmedlingen, 100%, Sthlm ",Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/scrum-master-till-arbetsfrmedlingen-100-sthlm-14136
120,A Society,Senior Data Scientist,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-data-scientist-14102
127,A Society,Senior Software Engineer,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-software-engineer-14094
122,A Society,Project Health \u0026 Safety Manager,Uppsala,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/project-health-\u0026-safety-manager-14099
155,A Society,Systemsäkerhetsingenjör – avancerade försvarssystem ,Karlskoga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemskerhetsingenjr-avancerade-frsvarssystem-13742
147,A Society, RF- och Mätteknikingenjör till avancerat underhåll av radarsystem,Arboga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/rf-och-mtteknikingenjr-till-avancerat-underhll-av-radarsystem-13786
148,A Society,Senior Network Security Engineer ,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-network-security-engineer-14037
149,A Society,"Systemingenjör inom Guidance, Navigation and Control (GNC)",Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemingenjr-inom-guidance-navigation-and-control-gnc-14034
150,A Society,Data Scientist,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/data-scientist-14033
151,A Society,"Senior konsult inom kraftelektronik – Saab, Göteborg",Göteborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-konsult-inom-kraftelektronik-saab-gteborg-14030
152,A Society,ILS Ingenjör ,Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/ils-ingenjr-13999
153,A Society,Elektronikingenjör Layout,Karlskoga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/elektronikingenjr-layout-13580
154,A Society,Elektronikkonstruktör för analog och digital konstruktion ,Karlskoga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/elektronikkonstruktr-fr-analog-och-digital-konstruktion-13740
156,A Society,Senior Systemingenjör – verifiering och systemutveckling inom missilsystem ,Karlskoga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-systemingenjr-verifiering-och-systemutveckling-inom-missilsystem-13743
145,A Society,Senior Lean SME konsult,Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-lean-sme-konsult-14049
157,A Society,Elektronikingenjör inom avioniksystem,Arboga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/elektronikingenjr-inom-avioniksystem-13787
158,A Society,Senior elektronikkonstruktör till Power Design,Göteborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-elektronikkonstruktr-till-power-design-13992
159,A Society,Komponentingenjör ,Karlskrona,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/komponentingenjr-13964
160,A Society,Vill du återvända till SAAB?,Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/vill-du-tervnda-till-saab?-12218
161,A Society,Senior teknisk specialist inom samband – remote med placering i Järfälla/Solna,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-teknisk-specialist-inom-samband-remote-med-placering-i-jrfllasolna-13729
163,A Society,Systemingenjör inom fordonsintegration Hybrid Arboga/Järfälla/Solna,Arboga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemingenjr-inom-fordonsintegration-hybrid-arbogajrfllasolna-13725
164,A Society,Systemingenjör – kommunikationssystem och nätverk inom försvarsindustrin,Arboga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemingenjr-kommunikationssystem-och-ntverk-inom-frsvarsindustrin-13702
123,A Society,Construction Supervisor (Civil Works),Boden,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/construction-supervisor-civil-works-14098
146,A Society,Systemingenjör – försvarssystem ,Karlskoga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemingenjr-frsvarssystem-13744
162,A Society,Tekniskt säljstöd inom kommunikationssystem – hybrid,Arboga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/tekniskt-sljstd-inom-kommunikationssystem-hybrid-13728
144,A Society,Front-end utvecklare ,Helsingborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/front-end-utvecklare-14054
134,A Society,Mjukvaruutvecklare - Embedded,Jönköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/mjukvaruutvecklare-embedded-14082
124,A Society,Senior Konstruktör – Konsultuppdrag inom flygplattformar,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-konstruktr-konsultuppdrag-inom-flygplattformar-14097
143,A Society,Mjukvarulösningsarkitekt ,Helsingborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/mjukvarulsningsarkitekt-14055
128,A Society,Androidutvecklare,Göteborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/androidutvecklare-14093
129,A Society,Stakeholder Requirement Manager - Linköping,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/stakeholder-requirement-manager-linkping-14092
130,A Society,"Projektledare Strategi och ledning till Transportstyrelsen, Örebro, 100% ",Örebro,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/projektledare-strategi-och-ledning-till-transportstyrelsen-rebro-100-14091
131,A Society,Technical writer ,Helsingborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/technical-writer-14089
132,A Society,We're looking for 2 AI/ML Engineers ,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/we're-looking-for-2-aiml-engineers-14085
133,A Society,It-lösningsarkitekt Transportstyrelsen Örebro 100%,Örebro,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/it-lsningsarkitekt-transportstyrelsen-rebro-100-14083
125,A Society,Senior Hållfasthetsingenjör – Konsultuppdrag inom flygplattformar,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/senior-hllfasthetsingenjr-konsultuppdrag-inom-flygplattformar-14096
135,A Society,Systemingenjör - kravhantering HW,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemingenjr-kravhantering-hw-14078
141,A Society,Embedded C++ Developer,Stockholm,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/embedded-c++-developer-14064
137,A Society,Förvaltningsledare D365 Finance till Malmö,Malmö/Lund,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/frvaltningsledare-d365-finance-till-malm-14058
138,A Society,Elektronikkonstruktör,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/elektronikkonstruktr-14068
139,A Society,Systemingenjörer (Hårdvara),Helsingborg,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/systemingenjrer-hrdvara-13860
140,A Society,Elektronikarkitekt,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/elektronikarkitekt-14067
142,A Society,"Elkonstruktör (EK4), Arboga",Arboga,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/elkonstruktr-ek4-arboga-14063
136,A Society,Konsultuppdrag: Ingenjörer och ledare inom avancerad plattformsutveckling,Linköping,2025-09-15 13:48:33,https://www.asocietygroup.com/sv/uppdrag/konsultuppdrag:-ingenjrer-och-ledare-inom-avancerad-plattformsutveckling-14070
78,Aliant,Elektronikkonstruktör (Altium Designer),Stockholm,2025-09-15 13:45:24,https://aliant.recman.page/job/449555
24,Afry,Gruppchef underhåll med inriktning på El och Automation,Västernorrlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/0a2ca2be-1372-4163-b185-5a2e64aafc91
25,Afry,Senior Projektledare Försvarsindustrin,,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/33d6d463-67cc-4fdd-b256-28d1ad0c6ec6
26,Afry,Design engineer transmission development ,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/ef5f36f5-ab9d-4497-a335-6bd128c2c78d
27,Afry,"Systemingenjör System & Kravhantering HW, Miljökrav - Försvarsindustrin Stockholm",Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/23582659-da50-4af9-8c35-06e694d046e8
28,Afry,Power Systems Engineering - Principal Engineer,Västmanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/2105cd07-f996-4244-bb60-62a246c997d9
29,Afry,Business Architect Automotive,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/076bf696-221c-4601-92dc-e6449a5a121d
30,Afry,Assignment manager complete vehicle testing,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/a1681c4b-e217-4fe8-b858-9ceb8bebedc5
34,Afry,Elkonstruktör,Östergötlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/71b222dc-057a-4761-b00d-f1dc5e859085
31,Afry,Associate Engineer - Product Support ,Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/ab9057e5-7e99-44ef-a594-c7016cd99347
32,Afry,Arbetsmiljöspecialist Stockholm [2025/4817] (OPP-0264351),Västmanlands län Stockholms län Uppsala län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/3f2131be-bc2e-4810-a1f7-80251dab7ece
33,Afry,Power Systems Engineering - Senior Principal Engineer,Dalarnas län Västra Götalands län Västmanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/9ff6cf99-5bb6-4a91-91f7-a1e4a41f5148
35,Afry,Montageledare EL,Västernorrlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/4332eace-e29d-4018-b29c-c3da613b7c1a
36,Afry,software Architect Automotive,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/2df92058-f3f5-42d1-b429-a5716817c6c4
37,Afry,Projekt-/tidplanerare läkemedelsindustrin,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/b88c5a0e-23cc-4823-bafd-b2c5376c1801
22,Afry,Projekingenjör - Trycksatta anordningar och pannor,Västernorrlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/805bd2b8-7408-4b72-972d-86acc3fa2e4f
38,Afry,Senior Technical Lead,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/ebfffbad-c1b9-4357-ac74-3ec2225afe95
39,Afry,Systemutvecklare - integrationsspecialist,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/c569cb72-8427-4588-ac58-70c08d593a6f
23,Afry,Gruppchef Teknik,Västernorrlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/75cbd42c-e7ec-4ae7-8dd8-4fdcafaf13fd
13,Afry,BPM008226 HFI system designer (sys4),Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/d9be7662-8ed0-429a-bd35-7c99a4303679
21,Afry,Technical Writer,Blekinge län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/8a3a16e9-f5a9-478c-9887-0b5445af912d
20,Afry,CAE Engineer Durability,Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/c89809ca-8d41-4c85-8092-b408973c2830
41,Afry,BPM008370  Mjukvaruarkitekt Java (PRO4),Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/2c7d4eab-f905-4baf-a3e3-62830f88399f
5,Afry,Automotive Senior konstruktör Oskarshamn,Kalmar län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/23d6e07e-94c1-41ee-a3e5-7bb5c60e9c6b
6,Afry,Senior Konstruktör inom Gjutning,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/587cd899-aff5-42b9-9cd8-302a09876a18
7,Afry,Senior Mechanical Designer - Automotive,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/6429e1c5-ce4e-4af8-8398-3943ea32a520
8,Afry,Senior designer whole vehicle development,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/49a8e978-7aaf-4ad7-b58a-e17324fa8090
9,Afry,Senior Scala/Java developer,Skåne län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/df648343-a1f5-4347-9d6c-f5b6495d91a2
10,Afry,Search ML Engineer,Skåne län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/b836865a-62f6-4b81-97f7-db3187a454f3
11,Afry,Embedded SW developer,Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/241c2b7c-2bb9-4ec1-89ef-9532bed6ec9d
12,Afry,Test Environment SW developer,Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/5db1303c-62bb-489b-a9fa-6e4e94b131ca
14,Afry,Retrofitberedare,Västernorrlands län Västerbottens län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/bd0eae92-caad-4381-800d-48295fcde127
15,Afry,Provledare,Västerbottens län Västernorrlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/7d29449d-7690-4f46-8c81-bd3f953e7156
16,Afry,Designingenjör rymd,Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/d304940d-bf64-4f1d-9b80-713cf771caa7
17,Afry,BPM008262 Teknisk delprojektledare (PRO3),Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/e4eefaab-499c-4589-9e86-8ee20e0bcabe
18,Afry,Aerospace Engineer (Product Support),Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/1cb263c6-a365-482a-ad22-5beb0ed2171d
19,Afry,SQM - Supplier Quality Manager,Östergötlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/933dfc5b-ff66-4159-a3a5-5b6ae69d0fe8
40,Afry,Test Engineer (Testingenjör),Norrbottens län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/fcd8c788-5377-4351-9696-85d34dd2141a
62,Afry,Lasersvetsningskompetens till fordonsindustrin,,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/8b9503d6-833c-492a-89a8-53bceb42ab56
42,Afry,Projektledning / Samordning UX Projekt Ledningsstödssystem - Försvaret Stockholm,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/67af5e1d-56c6-4a12-9577-22506e6f92e5
43,Afry,SQM - Elektronik & System,Örebro län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/a4b7b29d-ec9a-43a6-bd90-d5cec4727bae
63,Afry,Application and Data Management,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/16d65f46-44ab-44f1-8014-8f7ea185965c
64,Afry,Application and visualization solution,Södermanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/e4aa4423-468e-42b2-8343-54e9c9a66d6d
65,Afry,Simulation of rollforming process,,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/473e12c2-8774-4342-9947-8c1053f3db8a
66,Afry,Scrum Master chassis front,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/3f865484-4c78-40ce-8091-bea5f16a75f9
67,Afry,Projektledare/Manager – Ombyggnation & Produktionsanläggningar - Life Science,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/cf5f0fd7-3647-4335-bf64-0abc2956223b
68,Afry,Systemförvaltare Heroma,Östergötlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/e4e544b0-f88c-40e7-b105-47acb2ed1b78
69,Afry,Projektingenjör anläggningsprojekt 4658 (OPP-0265817),Stockholms län Norrbottens län Västernorrlands län Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/fde2d10c-942d-4ab7-bb29-3c954116a10e
70,Afry,Projektledare ledningsprojekt 4651 (OPP-0265773),Västmanlands län Västernorrlands län Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/cec74887-ac01-4b35-9fda-c79dd6f51679
71,Afry,BPM008401 Vibrationsexpert (SYS4),Västra Götalands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/72ba7893-5606-4060-b44a-70bd5dc0bfd6
72,Afry,Scrum Master till HW-nära Mjukvaruteam - Försvarsindustrin Stockholm,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/0a4e8c31-054a-4e9f-90be-cf2ffbff5640
73,Afry,"Project Manager, Engineering ",Västmanlands län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/46d37366-7ae3-4740-b0a8-2e5e8fe01e03
74,Afry,Scrum Master,Stockholms län,2025-09-15 13:41:53,https://portal.afry.com/available-assignments/search/66c14569-1866-4138-a852-b32c6653d820
